core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,lift,baseline_rate_per_100k
027,119,0.0014880766296940064,seed_structure,AABB,4,2148,1.2514122967622803,148.80766296940064
027,119,0.0014880766296940064,seed_high_count,2,55,30237,1.2223587718647335,148.80766296940064
027,119,0.0014880766296940064,overlap_unique,3,3,1683,1.1978759418205784,148.80766296940064
027,119,0.0014880766296940064,seed_even_count,1,35,19997,1.1761911345525358,148.80766296940064
027,119,0.0014880766296940064,seed_sum_mod2,odd,68,40018,1.1419004305205516,148.80766296940064
027,119,0.0014880766296940064,seed_even_count,3,33,20021,1.1076508321724374,148.80766296940064
027,119,0.0014880766296940064,seed_high_count,4,8,4918,1.0931409570741677,148.80766296940064
027,119,0.0014880766296940064,seed_spread,3-5,44,27370,1.0803204146108571,148.80766296940064
028,122,0.0015255911665770486,seed_even_count,4,14,4945,1.8557675413151222,152.55911665770486
028,122,0.0015255911665770486,seed_sum_range4_best,10-13,26,12011,1.4189138098819252,152.55911665770486
028,122,0.0015255911665770486,seed_spread,<=2,9,4317,1.3665398329896672,152.55911665770486
028,122,0.0015255911665770486,seed_high_count,4,10,4918,1.3328255521703478,152.55911665770486
028,122,0.0015255911665770486,seed_high_count,1,40,19875,1.3192122899267966,152.55911665770486
028,122,0.0015255911665770486,seed_last_in_core,yes,48,23976,1.3122794926073615,152.55911665770486
028,122,0.0015255911665770486,seed_structure,AABB,4,2148,1.220639863235339,152.55911665770486
028,122,0.0015255911665770486,overlap_unique,>=2,37,20313,1.1939592104870256,152.55911665770486
028,122,0.0015255911665770486,seed_contains_core_pair,yes,37,20313,1.1939592104870256,152.55911665770486
028,122,0.0015255911665770486,overlap_unique,3,3,1651,1.1910665170636774,152.55911665770486
029,133,0.0016631444684815366,seed_structure,AAAB,8,2934,1.6394565144968762,166.31444684815366
029,133,0.0016631444684815366,seed_sum_range4_best,25-28,17,8067,1.2670883232626005,166.31444684815366
029,133,0.0016631444684815366,seed_even_count,0,10,4934,1.2186272328571732,166.31444684815366
029,133,0.0016631444684815366,seed_sum_mod3,1,52,26722,1.1700499658696926,166.31444684815366
029,133,0.0016631444684815366,seed_high_count,4,9,4918,1.100332673897024,166.31444684815366
029,133,0.0016631444684815366,seed_sum_mod2,even,73,39951,1.0986648494029245,166.31444684815366
029,133,0.0016631444684815366,seed_sum_mod3,2,49,26879,1.096107115513774,166.31444684815366
029,133,0.0016631444684815366,seed_even_count,4,9,4945,1.094324790743289,166.31444684815366
029,133,0.0016631444684815366,seed_even_count,2,54,30072,1.0796959477704635,166.31444684815366
029,133,0.0016631444684815366,seed_last_in_core,yes,43,24034,1.0757526461572922,166.31444684815366
038,126,0.0015756105490877714,seed_sum_range4_best,5-8,11,3472,2.010777832638432,157.56105490877715
038,126,0.0015756105490877714,seed_high_count,0,13,4985,1.6551193262326664,157.56105490877715
038,126,0.0015756105490877714,seed_structure,AAAB,6,2934,1.297903073976694,157.56105490877715
038,126,0.0015756105490877714,seed_structure,AABC,66,34212,1.2243810303263127,157.56105490877715
038,126,0.0015756105490877714,seed_even_count,2,56,30072,1.1818893913865982,157.56105490877715
038,126,0.0015756105490877714,seed_spread,<=2,8,4317,1.1761401031727647,157.56105490877715
038,126,0.0015756105490877714,seed_spread,3-5,50,27370,1.1594347884081169,157.56105490877715
038,126,0.0015756105490877714,seed_first_in_core,yes,44,24087,1.1593673989987354,157.56105490877715
038,126,0.0015756105490877714,overlap_unique,0,35,19172,1.1586486079235925,157.56105490877715
038,126,0.0015756105490877714,seed_high_count,1,36,19875,1.149599281221923,157.56105490877715
046,122,0.0015255911665770486,seed_sum_range4_best,3-6,5,1498,2.1878625051981877,152.55911665770486
046,122,0.0015255911665770486,seed_structure,AAAB,7,2934,1.563866818644049,152.55911665770486
046,122,0.0015255911665770486,seed_spread,<=2,10,4317,1.5183775922107414,152.55911665770486
046,122,0.0015255911665770486,seed_high_count,0,10,4985,1.314911948961639,152.55911665770486
046,122,0.0015255911665770486,seed_even_count,4,9,4945,1.192993419416864,152.55911665770486
046,122,0.0015255911665770486,seed_sum_mod3,2,48,26879,1.1705499875275902,152.55911665770486
046,122,0.0015255911665770486,seed_even_count,2,53,30072,1.1552484419905886,152.55911665770486
046,122,0.0015255911665770486,seed_sum_mod2,even,67,39951,1.0992816610183542,152.55911665770486
046,122,0.0015255911665770486,seed_structure,ABCD,68,40580,1.0983953978783054,152.55911665770486
046,122,0.0015255911665770486,seed_sum_mod3,0,43,26368,1.068939437271208,152.55911665770486
048,109,0.001363028173417199,seed_structure,AAAB,8,2934,2.000437765395271,136.3028173417199
048,109,0.001363028173417199,seed_spread,<=2,9,4317,1.529521647933389,136.3028173417199
048,109,0.001363028173417199,seed_structure,AABB,4,2148,1.3662207643551503,136.3028173417199
048,109,0.001363028173417199,seed_sum_range4_best,14-17,36,19649,1.3441793382112965,136.3028173417199
