core_family,baseline_hits,baseline_rate,trait,value,trait_hits,trait_total,trait_rate,lift,lift_diff,baseline_rate_per_100k
15,282,0.008023672679679053,seed_repeat_digit,2,13,1756,0.007403189066059226,0.9226683791337501,-0.0006204836136198275,802.3672679679054
15,282,0.008023672679679053,seed_spread_band,0-3,34,4586,0.007413868294810292,0.9239993442886614,-0.0006098043848687612,802.3672679679054
15,282,0.008023672679679053,seed_vtrac_unique,2,59,7942,0.007428859229413246,0.9258676825424039,-0.0005948134502658077,802.3672679679054
15,282,0.008023672679679053,seed_even_count,2,99,13273,0.007458750847585323,0.9295931109547296,-0.0005649218320937302,802.3672679679054
15,282,0.008023672679679053,seed_prime_count,4,7,933,0.007502679528403001,0.9350679954086946,-0.0005209931512760524,802.3672679679054
15,282,0.008023672679679053,seed_trail_band,0-3,105,13955,0.007524184879971337,0.9377482333030943,-0.0004994877997077166,802.3672679679054
15,282,0.008023672679679053,seed_sum_mod3,2,91,11906,0.0076432051066689065,0.9525818676559765,-0.00038046757301014693,802.3672679679054
15,282,0.008023672679679053,seed_prime_count,2,93,12114,0.007677067855373947,0.9568022228545132,-0.0003466048243051063,802.3672679679054
15,282,0.008023672679679053,seed_sum_band,10-17,109,14074,0.007744777604092653,0.9652409704731928,-0.00027889507558640034,802.3672679679054
15,282,0.008023672679679053,seed_sum_lastdigit,8,27,3478,0.007763082231167337,0.9675222982149192,-0.00026059044851171626,802.3672679679054
15,282,0.008023672679679053,seed_high_count,2,104,13330,0.007801950487621906,0.9723664958792889,-0.00022172219205714768,802.3672679679054
15,282,0.008023672679679053,seed_trail_band,7-9,83,10620,0.007815442561205274,0.9740480292770232,-0.00020823011847377962,802.3672679679054
15,282,0.008023672679679053,seed_prime_count,1,95,12149,0.00781957362745905,0.9745628890449495,-0.00020409905222000362,802.3672679679054
15,282,0.008023672679679053,seed_sum_mod2,0,139,17636,0.007881605806305285,0.982294034285126,-0.00014206687337376886,802.3672679679054
15,282,0.008023672679679053,seed_consecutive_pairs,2,50,6272,0.007971938775510204,0.9935523411492256,-5.1733904168849154e-05,802.3672679679054
15,282,0.008023672679679053,seed_structure,ABCD,142,17772,0.007990096781453973,0.9958153953226289,-3.357589822508035e-05,802.3672679679054
15,282,0.008023672679679053,seed_unique_count,4,142,17772,0.007990096781453973,0.9958153953226289,-3.357589822508035e-05,802.3672679679054
15,282,0.008023672679679053,seed_repeat_digit,none,142,17772,0.007990096781453973,0.9958153953226289,-3.357589822508035e-05,802.3672679679054
15,282,0.008023672679679053,seed_spread_band,4-6,123,15348,0.008014073494917905,0.9988036420297329,-9.599184761148113e-06,802.3672679679054
16,329,0.009360951459625563,seed_prime_count,4,6,933,0.006430868167202572,0.6869887313206735,-0.0029300832924229903,936.0951459625562
16,329,0.009360951459625563,seed_even_count,0,14,2150,0.0065116279069767444,0.6956160316674913,-0.002849323552648818,936.0951459625562
16,329,0.009360951459625563,seed_repeat_digit,8,13,1775,0.007323943661971831,0.7823930818956291,-0.0020370077976537317,936.0951459625562
16,329,0.009360951459625563,seed_high_count,3,68,8727,0.007791910163859287,0.8323844213343419,-0.0015690412957662754,936.0951459625562
16,329,0.009360951459625563,seed_sum_lastdigit,2,28,3501,0.007997714938588975,0.8543698760840368,-0.0013632365210365874,936.0951459625562
16,329,0.009360951459625563,seed_repeat_digit,4,14,1749,0.008004574042309892,0.855102611826819,-0.0013563774173156705,936.0951459625562
16,329,0.009360951459625563,seed_sum_band,27-36,20,2480,0.008064516129032258,0.8615060300029413,-0.0012964353305933048,936.0951459625562
16,329,0.009360951459625563,seed_consecutive_pairs,3,5,617,0.008103727714748784,0.8656948761779962,-0.0012572237448767783,936.0951459625562
16,329,0.009360951459625563,seed_even_count,4,18,2213,0.008133755083596927,0.8689026023346431,-0.0012271963760286352,936.0951459625562
16,329,0.009360951459625563,seed_repeat_digit,3,14,1714,0.008168028004667444,0.8725638670274832,-0.0011929234549581183,936.0951459625562
16,329,0.009360951459625563,seed_repeat_digit,1,15,1810,0.008287292817679558,0.8853045391190447,-0.001073658641946005,936.0951459625562
16,329,0.009360951459625563,seed_sum_mod3,1,98,11808,0.008299457994579946,0.8866041054027561,-0.0010614934650456168,936.0951459625562
16,329,0.009360951459625563,seed_consecutive_pairs,1,138,16392,0.00841874084919473,0.8993467048200545,-0.0009422106104308332,936.0951459625562
16,329,0.009360951459625563,seed_sum_lastdigit,5,29,3422,0.00847457627118644,0.9053114213590232,-0.000886375188439122,936.0951459625562
16,329,0.009360951459625563,seed_high_count,1,75,8787,0.008535336292249915,0.911802216800655,-0.0008256151673756481,936.0951459625562
16,329,0.009360951459625563,seed_structure,AAAB,11,1266,0.008688783570300158,0.928194490461305,-0.0006721678893254045,936.0951459625562
16,329,0.009360951459625563,seed_sum_lastdigit,0,32,3589,0.008916132627472834,0.9524814508363533,-0.00044481883215272827,936.0951459625562
16,329,0.009360951459625563,seed_repeat_digit,7,15,1680,0.008928571428571428,0.9538102475032565,-0.00043238003105413453,936.0951459625562
16,329,0.009360951459625563,seed_consecutive_pairs,0,106,11865,0.008933839022334598,0.954372967413288,-0.0004271124372909642,936.0951459625562
16,329,0.009360951459625563,seed_sum_band,10-17,126,14074,0.008952678698308939,0.9563855487257323,-0.0004082727613166238,936.0951459625562
16,329,0.009360951459625563,seed_spread_band,4-6,138,15348,0.008991399530883503,0.9605219693386977,-0.0003695519287420599,936.0951459625562
16,329,0.009360951459625563,seed_structure,AABC,136,15120,0.008994708994708995,0.9608755085958732,-0.00036624246491656805,936.0951459625562
16,329,0.009360951459625563,seed_unique_count,3,136,15120,0.008994708994708995,0.9608755085958732,-0.00036624246491656805,936.0951459625562
16,329,0.009360951459625563,seed_lead_band,4-6,95,10552,0.00900303260045489,0.9617646923270138,-0.0003579188591706726,936.0951459625562
16,329,0.009360951459625563,seed_even_count,3,79,8774,0.009003875085479826,0.9618546922622309,-0.00035707637414573654,936.0951459625562
16,329,0.009360951459625563,seed_unique_count,2,20,2212,0.009041591320072333,0.9658837949400066,-0.0003193601395532295,936.0951459625562
16,329,0.009360951459625563,seed_sum_mod2,0,160,17636,0.009072352007257882,0.9691698591096825,-0.00028859945236768027,936.0951459625562
